Point	X	Y	Z
224	2060.114 m	74.942 m	-14033.049 m
225	2067.653 m	75.237 m	-14023.105 m
226	2075.165 m	75.531 m	-14013.164 m
227	2082.652 m	75.823 m	-14003.227 m
228	2090.112 m	76.113 m	-13993.294 m
229	2097.546 m	76.401 m	-13983.364 m
230	2104.953 m	76.687 m	-13973.438 m
231	2112.334 m	76.971 m	-13963.515 m
232	2119.689 m	77.254 m	-13953.596 m
233	2127.016 m	77.534 m	-13943.681 m
234	2134.316 m	77.812 m	-13933.77 m
235	2141.589 m	78.088 m	-13923.863 m
236	2148.834 m	78.363 m	-13913.96 m
237	2156.052 m	78.635 m	-13904.06 m
238	2163.243 m	78.905 m	-13894.165 m
239	2170.405 m	79.172 m	-13884.274 m
240	2177.539 m	79.438 m	-13874.387 m
241	2184.645 m	79.701 m	-13864.505 m
242	2191.723 m	79.962 m	-13854.626 m
243	2199.069 m	80.232 m	-13844.335 m
244	2206.425 m	80.501 m	-13833.991 m
245	2213.749 m	80.767 m	-13823.653 m
246	2221.041 m	81.03 m	-13813.319 m
247	2228.301 m	81.291 m	-13802.99 m
248	2235.528 m	81.55 m	-13792.667 m
249	2242.723 m	81.805 m	-13782.349 m
250	2249.886 m	82.058 m	-13772.036 m
251	2257.015 m	82.308 m	-13761.728 m
252	2264.112 m	82.556 m	-13751.426 m
253	2271.175 m	82.801 m	-13741.129 m
254	2278.205 m	83.042 m	-13730.837 m
255	2285.202 m	83.281 m	-13720.552 m
256	2292.164 m	83.517 m	-13710.271 m
257	2299.093 m	83.751 m	-13699.997 m
258	2305.987 m	83.981 m	-13689.728 m
259	2312.847 m	84.208 m	-13679.466 m
260	2319.673 m	84.432 m	-13669.209 m
261	2326.463 m	84.653 m	-13658.958 m
262	2333.219 m	84.871 m	-13648.713 m
263	2339.94 m	85.086 m	-13638.474 m
264	2346.625 m	85.298 m	-13628.241 m
265	2353.275 m	85.507 m	-13618.015 m
266	2359.89 m	85.712 m	-13607.795 m
267	2366.468 m	85.915 m	-13597.581 m
268	2373.011 m	86.114 m	-13587.374 m
269	2379.517 m	86.309 m	-13577.173 m
270	2386.351 m	86.512 m	-13566.404 m
271	2393.151 m	86.712 m	-13555.631 m
272	2399.909 m	86.908 m	-13544.866 m
273	2406.626 m	87.1 m	-13534.109 m
274	2413.302 m	87.288 m	-13523.359 m
275	2419.936 m	87.472 m	-13512.616 m
276	2426.528 m	87.652 m	-13501.882 m
277	2433.077 m	87.829 m	-13491.156 m
278	2439.584 m	88.001 m	-13480.437 m
279	2446.049 m	88.169 m	-13469.726 m
280	2452.47 m	88.333 m	-13459.024 m
281	2458.849 m	88.493 m	-13448.33 m
282	2465.184 m	88.649 m	-13437.644 m
283	2471.475 m	88.801 m	-13426.966 m
284	2477.723 m	88.949 m	-13416.297 m
285	2483.926 m	89.092 m	-13405.636 m
286	2490.085 m	89.231 m	-13394.984 m
287	2496.2 m	89.366 m	-13384.341 m
288	2502.271 m	89.496 m	-13373.706 m
289	2508.296 m	89.622 m	-13363.08 m
290	2514.276 m	89.743 m	-13352.463 m
291	2520.211 m	89.86 m	-13341.855 m
292	2526.1 m	89.972 m	-13331.256 m
293	2531.943 m	90.08 m	-13320.666 m
294	2537.741 m	90.184 m	-13310.085 m
295	2543.435 m	90.282 m	-13299.626 m
296	2549.085 m	90.381 m	-13289.224 m
297	2554.749 m	90.483 m	-13278.773 m
298	2560.429 m	90.586 m	-13268.272 m
299	2566.125 m	90.692 m	-13257.722 m
300	2571.835 m	90.8 m	-13247.123 m
301	2577.559 m	90.91 m	-13236.476 m
302	2583.298 m	91.022 m	-13225.781 m
303	2589.051 m	91.136 m	-13215.038 m
304	2594.818 m	91.253 m	-13204.247 m
305	2600.598 m	91.371 m	-13193.409 m
306	2606.392 m	91.492 m	-13182.525 m
307	2612.198 m	91.614 m	-13171.593 m
308	2618.017 m	91.739 m	-13160.616 m
309	2623.849 m	91.865 m	-13149.592 m
310	2629.693 m	91.993 m	-13138.523 m
311	2635.549 m	92.124 m	-13127.408 m
312	2641.416 m	92.256 m	-13116.248 m
313	2647.295 m	92.39 m	-13105.043 m
314	2653.185 m	92.526 m	-13093.794 m
315	2659.086 m	92.664 m	-13082.5 m
316	2664.997 m	92.804 m	-13071.162 m
317	2670.919 m	92.946 m	-13059.781 m
318	2676.851 m	93.089 m	-13048.357 m
319	2682.793 m	93.234 m	-13036.889 m
320	2688.744 m	93.381 m	-13025.379 m
321	2694.434 m	93.523 m	-13014.352 m
322	2699.922 m	93.661 m	-13003.694 m
323	2705.417 m	93.8 m	-12993.001 m
324	2710.92 m	93.941 m	-12982.272 m
325	2716.43 m	94.084 m	-12971.509 m
326	2721.947 m	94.228 m	-12960.711 m
327	2727.47 m	94.373 m	-12949.878 m
328	2733 m	94.519 m	-12939.011 m
329	2738.536 m	94.667 m	-12928.11 m
330	2744.077 m	94.816 m	-12917.176 m
331	2749.625 m	94.967 m	-12906.207 m
332	2755.178 m	95.119 m	-12895.206 m
333	2760.737 m	95.272 m	-12884.171 m
334	2766.301 m	95.426 m	-12873.104 m
335	2771.87 m	95.581 m	-12862.003 m
336	2777.443 m	95.738 m	-12850.871 m
337	2783.022 m	95.896 m	-12839.706 m
338	2788.604 m	96.055 m	-12828.509 m
339	2794.191 m	96.216 m	-12817.281 m
340	2799.781 m	96.377 m	-12806.021 m
341	2805.376 m	96.54 m	-12794.73 m
342	2810.974 m	96.704 m	-12783.408 m
343	2816.575 m	96.869 m	-12772.055 m
344	2822.179 m	97.035 m	-12760.671 m
345	2827.787 m	97.202 m	-12749.257 m
346	2833.397 m	97.371 m	-12737.813 m
347	2839.009 m	97.54 m	-12726.34 m
348	2844.624 m	97.71 m	-12714.836 m
349	2850.14 m	97.879 m	-12703.51 m
350	2855.432 m	98.041 m	-12692.623 m
351	2860.725 m	98.204 m	-12681.71 m
352	2866.019 m	98.368 m	-12670.771 m
353	2871.315 m	98.533 m	-12659.807 m
354	2876.612 m	98.699 m	-12648.818 m
355	2881.909 m	98.865 m	-12637.804 m
356	2887.207 m	99.033 m	-12626.766 m
357	2892.506 m	99.201 m	-12615.703 m
358	2897.805 m	99.37 m	-12604.616 m
359	2903.104 m	99.54 m	-12593.504 m
360	2908.403 m	99.711 m	-12582.369 m
361	2913.702 m	99.882 m	-12571.209 m
362	2919 m	100.054 m	-12560.027 m
363	2924.298 m	100.227 m	-12548.821 m
364	2929.595 m	100.4 m	-12537.591 m
365	2934.891 m	100.574 m	-12526.339 m
366	2940.187 m	100.749 m	-12515.064 m
367	2945.481 m	100.925 m	-12503.767 m
368	2950.773 m	101.101 m	-12492.447 m
369	2956.064 m	101.278 m	-12481.105 m
370	2961.354 m	101.456 m	-12469.741 m
371	2966.641 m	101.634 m	-12458.355 m
372	2971.927 m	101.813 m	-12446.947 m
373	2977.21 m	101.992 m	-12435.519 m
374	2982.49 m	102.172 m	-12424.068 m
375	2987.768 m	102.352 m	-12412.597 m
376	2993.044 m	102.533 m	-12401.105 m
377	2998.316 m	102.715 m	-12389.593 m
378	3003.585 m	102.897 m	-12378.06 m
379	3008.788 m	103.078 m	-12366.644 m
380	3013.844 m	103.254 m	-12355.526 m
381	3018.897 m	103.43 m	-12344.389 m
382	3023.946 m	103.607 m	-12333.235 m
383	3028.992 m	103.784 m	-12322.062 m
384	3034.033 m	103.962 m	-12310.871 m
385	3039.071 m	104.14 m	-12299.663 m
386	3044.105 m	104.318 m	-12288.437 m
387	3049.134 m	104.497 m	-12277.194 m
388	3054.159 m	104.677 m	-12265.934 m
389	3059.179 m	104.856 m	-12254.657 m
390	3064.195 m	105.036 m	-12243.363 m
391	3069.206 m	105.216 m	-12232.052 m
392	3074.212 m	105.397 m	-12220.725 m
393	3079.212 m	105.578 m	-12209.382 m
394	3084.208 m	105.759 m	-12198.023 m
395	3089.198 m	105.941 m	-12186.647 m
396	3094.182 m	106.123 m	-12175.256 m
397	3099.161 m	106.305 m	-12163.849 m
398	3104.133 m	106.487 m	-12152.427 m
399	3109.1 m	106.67 m	-12140.99 m
400	3114.06 m	106.852 m	-12129.537 m
401	3119.014 m	107.035 m	-12118.07 m
402	3123.961 m	107.219 m	-12106.588 m
403	3128.902 m	107.402 m	-12095.091 m
404	3133.836 m	107.586 m	-12083.58 m
405	3138.763 m	107.77 m	-12072.055 m
406	3143.683 m	107.954 m	-12060.515 m
407	3148.595 m	108.138 m	-12048.962 m
408	3153.5 m	108.322 m	-12037.395 m
409	3158.398 m	108.506 m	-12025.814 m
410	3163.279 m	108.691 m	-12014.239 m
411	3168.052 m	108.871 m	-12002.893 m
412	3172.817 m	109.052 m	-11991.534 m
413	3177.573 m	109.232 m	-11980.163 m
414	3182.322 m	109.413 m	-11968.779 m
415	3187.063 m	109.594 m	-11957.384 m
416	3191.796 m	109.774 m	-11945.977 m
417	3196.52 m	109.955 m	-11934.558 m
418	3201.235 m	110.136 m	-11923.128 m
419	3205.942 m	110.317 m	-11911.686 m
420	3210.64 m	110.498 m	-11900.234 m
421	3215.329 m	110.679 m	-11888.77 m
422	3220.009 m	110.86 m	-11877.295 m
423	3224.68 m	111.041 m	-11865.81 m
424	3229.342 m	111.221 m	-11854.314 m
425	3233.994 m	111.402 m	-11842.808 m
426	3238.636 m	111.583 m	-11831.292 m
427	3243.268 m	111.763 m	-11819.765 m
428	3247.89 m	111.944 m	-11808.229 m
429	3252.503 m	112.124 m	-11796.683 m
430	3257.105 m	112.305 m	-11785.127 m
431	3261.697 m	112.485 m	-11773.562 m
432	3266.278 m	112.665 m	-11761.988 m
433	3270.848 m	112.845 m	-11750.405 m
434	3275.408 m	113.024 m	-11738.812 m
435	3279.957 m	113.204 m	-11727.211 m
436	3284.494 m	113.383 m	-11715.602 m
437	3289.021 m	113.563 m	-11703.984 m
438	3293.536 m	113.742 m	-11692.357 m
439	3298.039 m	113.921 m	-11680.723 m
440	3302.531 m	114.099 m	-11669.08 m
441	3307.011 m	114.278 m	-11657.43 m
442	3311.475 m	114.456 m	-11645.782 m
443	3315.901 m	114.632 m	-11634.198 m
444	3320.314 m	114.809 m	-11622.606 m
445	3324.715 m	114.985 m	-11611.007 m
446	3329.104 m	115.161 m	-11599.4 m
447	3333.48 m	115.337 m	-11587.788 m
448	3337.844 m	115.512 m	-11576.168 m
449	3342.195 m	115.687 m	-11564.543 m
450	3346.533 m	115.862 m	-11552.911 m
451	3350.858 m	116.036 m	-11541.272 m
452	3355.169 m	116.21 m	-11529.628 m
453	3359.468 m	116.384 m	-11517.978 m
454	3363.753 m	116.557 m	-11506.323 m
455	3368.024 m	116.73 m	-11494.662 m
456	3372.282 m	116.903 m	-11482.995 m
457	3376.526 m	117.075 m	-11471.324 m
458	3380.756 m	117.246 m	-11459.647 m
459	3384.971 m	117.418 m	-11447.966 m
460	3389.173 m	117.589 m	-11436.279 m
461	3393.36 m	117.759 m	-11424.589 m
462	3397.532 m	117.929 m	-11412.894 m
463	3401.69 m	118.099 m	-11401.194 m
464	3405.833 m	118.268 m	-11389.491 m
465	3409.961 m	118.437 m	-11377.783 m
466	3414.074 m	118.605 m	-11366.072 m
467	3418.171 m	118.772 m	-11354.358 m
468	3422.253 m	118.94 m	-11342.639 m
469	3426.32 m	119.106 m	-11330.918 m
470	3430.371 m	119.272 m	-11319.193 m
471	3434.406 m	119.438 m	-11307.466 m
472	3438.425 m	119.603 m	-11295.735 m
473	3442.428 m	119.767 m	-11284.002 m
474	3446.415 m	119.931 m	-11272.267 m
475	3450.416 m	120.096 m	-11260.44 m
476	3454.401 m	120.26 m	-11248.607 m
477	3458.369 m	120.423 m	-11236.772 m
478	3462.32 m	120.586 m	-11224.935 m
479	3466.254 m	120.748 m	-11213.097 m
480	3470.17 m	120.909 m	-11201.256 m
481	3474.07 m	121.07 m	-11189.415 m
482	3477.951 m	121.23 m	-11177.572 m
483	3481.815 m	121.389 m	-11165.728 m
484	3485.66 m	121.548 m	-11153.883 m
485	3489.488 m	121.706 m	-11142.037 m
486	3493.298 m	121.863 m	-11130.191 m
487	3497.089 m	122.02 m	-11118.344 m
488	3500.862 m	122.176 m	-11106.497 m
489	3504.616 m	122.331 m	-11094.65 m
490	3508.351 m	122.485 m	-11082.803 m
491	3512.067 m	122.639 m	-11070.955 m
492	3515.765 m	122.791 m	-11059.109 m
493	3519.443 m	122.943 m	-11047.263 m
494	3523.102 m	123.095 m	-11035.417 m
495	3526.741 m	123.245 m	-11023.572 m
496	3530.361 m	123.395 m	-11011.729 m
497	3533.961 m	123.543 m	-10999.886 m
498	3537.541 m	123.691 m	-10988.045 m
499	3541.101 m	123.838 m	-10976.205 m
500	3544.641 m	123.984 m	-10964.367 m
501	3548.16 m	124.13 m	-10952.531 m
502	3551.659 m	124.274 m	-10940.696 m
503	3555.138 m	124.417 m	-10928.864 m
504	3558.596 m	124.56 m	-10917.034 m
505	3562.032 m	124.702 m	-10905.207 m
506	3565.451 m	124.842 m	-10893.372 m
507	3568.921 m	124.985 m	-10881.286 m
508	3572.369 m	125.127 m	-10869.203 m
509	3575.794 m	125.268 m	-10857.123 m
510	3579.197 m	125.408 m	-10845.047 m
511	3582.577 m	125.547 m	-10832.974 m
512	3585.934 m	125.685 m	-10820.905 m
513	3589.268 m	125.821 m	-10808.84 m
514	3592.579 m	125.957 m	-10796.779 m
515	3595.867 m	126.091 m	-10784.722 m
516	3599.131 m	126.225 m	-10772.67 m
517	3602.371 m	126.357 m	-10760.622 m
518	3605.587 m	126.489 m	-10748.579 m
519	3608.78 m	126.619 m	-10736.541 m
520	3611.948 m	126.748 m	-10724.508 m
521	3615.093 m	126.876 m	-10712.481 m
522	3618.212 m	127.002 m	-10700.459 m
523	3621.307 m	127.128 m	-10688.442 m
524	3624.378 m	127.252 m	-10676.432 m
525	3627.424 m	127.375 m	-10664.427 m
526	3630.444 m	127.497 m	-10652.428 m
527	3633.439 m	127.618 m	-10640.436 m
528	3636.409 m	127.737 m	-10628.45 m
529	3639.354 m	127.856 m	-10616.471 m
530	3642.273 m	127.973 m	-10604.499 m
531	3645.166 m	128.088 m	-10592.534 m
532	3648.033 m	128.203 m	-10580.576 m
533	3650.874 m	128.316 m	-10568.625 m
534	3653.689 m	128.428 m	-10556.682 m
535	3656.478 m	128.538 m	-10544.746 m
536	3659.24 m	128.648 m	-10532.818 m
537	3661.975 m	128.755 m	-10520.899 m
538	3664.763 m	128.865 m	-10508.633 m
539	3667.541 m	128.974 m	-10496.296 m
540	3670.29 m	129.082 m	-10483.969 m
541	3673.009 m	129.188 m	-10471.651 m
542	3675.699 m	129.292 m	-10459.343 m
543	3678.359 m	129.395 m	-10447.045 m
544	3680.989 m	129.496 m	-10434.756 m
545	3683.589 m	129.596 m	-10422.478 m
546	3686.159 m	129.695 m	-10410.21 m
547	3688.698 m	129.791 m	-10397.952 m
548	3691.207 m	129.887 m	-10385.706 m
549	3693.685 m	129.98 m	-10373.47 m
550	3696.133 m	130.072 m	-10361.245 m
551	3698.549 m	130.163 m	-10349.032 m
552	3700.934 m	130.252 m	-10336.83 m
553	3703.288 m	130.339 m	-10324.64 m
554	3705.61 m	130.424 m	-10312.462 m
555	3707.901 m	130.508 m	-10300.295 m
556	3710.159 m	130.59 m	-10288.141 m
557	3712.386 m	130.671 m	-10276 m
558	3714.58 m	130.749 m	-10263.871 m
559	3716.742 m	130.826 m	-10251.755 m
560	3718.871 m	130.902 m	-10239.652 m
561	3720.968 m	130.975 m	-10227.562 m
562	3723.032 m	131.047 m	-10215.486 m
563	3725.062 m	131.117 m	-10203.423 m
564	3727.06 m	131.185 m	-10191.374 m
565	3729.023 m	131.252 m	-10179.339 m
566	3730.954 m	131.316 m	-10167.318 m
567	3732.85 m	131.379 m	-10155.311 m
568	3734.777 m	131.442 m	-10142.903 m
569	3736.695 m	131.504 m	-10130.329 m
570	3738.575 m	131.564 m	-10117.77 m
571	3740.417 m	131.622 m	-10105.229 m
572	3742.221 m	131.677 m	-10092.704 m
573	3743.986 m	131.731 m	-10080.196 m
574	3745.713 m	131.783 m	-10067.706 m
575	3747.401 m	131.832 m	-10055.234 m
576	3749.051 m	131.879 m	-10042.779 m
577	3750.661 m	131.924 m	-10030.342 m
578	3752.231 m	131.967 m	-10017.924 m
579	3753.762 m	132.008 m	-10005.524 m
580	3755.254 m	132.047 m	-9993.142 m
581	3756.705 m	132.083 m	-9980.78 m
582	3758.116 m	132.117 m	-9968.437 m
583	3759.487 m	132.149 m	-9956.113 m
584	3760.818 m	132.178 m	-9943.809 m
585	3762.108 m	132.206 m	-9931.524 m
586	3763.356 m	132.231 m	-9919.26 m
587	3764.564 m	132.253 m	-9907.016 m
588	3765.73 m	132.274 m	-9894.792 m
589	3766.855 m	132.292 m	-9882.589 m
590	3767.938 m	132.307 m	-9870.407 m
591	3768.979 m	132.32 m	-9858.246 m
592	3769.978 m	132.331 m	-9846.106 m
593	3770.935 m	132.34 m	-9833.988 m
594	3771.85 m	132.346 m	-9821.892 m
595	3772.721 m	132.35 m	-9809.818 m
596	3773.55 m	132.351 m	-9797.763 m
597	3774.389 m	132.351 m	-9785.22 m
598	3775.221 m	132.352 m	-9772.689 m
599	3776.048 m	132.352 m	-9760.17 m
600	3776.869 m	132.354 m	-9747.661 m
601	3777.683 m	132.355 m	-9735.165 m
602	3778.49 m	132.357 m	-9722.68 m
603	3779.292 m	132.359 m	-9710.207 m
604	3780.086 m	132.361 m	-9697.745 m
605	3780.874 m	132.364 m	-9685.295 m
606	3781.654 m	132.366 m	-9672.856 m
607	3782.427 m	132.369 m	-9660.429 m
608	3783.193 m	132.372 m	-9648.014 m
609	3783.952 m	132.375 m	-9635.61 m
610	3784.703 m	132.379 m	-9623.217 m
