Point	X	Y	Z
254	2828.215 m	-1253.882 m	7816.381 m
255	2835.461 m	-1253.771 m	7826.712 m
256	2842.672 m	-1253.661 m	7837.035 m
257	2849.848 m	-1253.552 m	7847.35 m
258	2856.988 m	-1253.442 m	7857.657 m
259	2864.093 m	-1253.333 m	7867.956 m
260	2871.161 m	-1253.225 m	7878.246 m
261	2878.194 m	-1253.116 m	7888.528 m
262	2885.19 m	-1253.008 m	7898.801 m
263	2892.15 m	-1252.901 m	7909.066 m
264	2899.072 m	-1252.793 m	7919.322 m
265	2905.958 m	-1252.686 m	7929.57 m
266	2912.807 m	-1252.579 m	7939.808 m
267	2919.618 m	-1252.473 m	7950.038 m
268	2926.391 m	-1252.367 m	7960.259 m
269	2933.127 m	-1252.261 m	7970.47 m
270	2939.824 m	-1252.156 m	7980.672 m
271	2946.483 m	-1252.051 m	7990.865 m
272	2953.104 m	-1251.947 m	8001.048 m
273	2959.686 m	-1251.842 m	8011.222 m
274	2966.229 m	-1251.739 m	8021.386 m
275	2973.062 m	-1251.63 m	8032.056 m
276	2979.966 m	-1251.52 m	8042.896 m
277	2986.826 m	-1251.41 m	8053.725 m
278	2993.64 m	-1251.301 m	8064.543 m
279	3000.408 m	-1251.192 m	8075.348 m
280	3007.13 m	-1251.083 m	8086.143 m
281	3013.806 m	-1250.976 m	8096.925 m
282	3020.435 m	-1250.868 m	8107.696 m
283	3027.017 m	-1250.761 m	8118.454 m
284	3033.553 m	-1250.654 m	8129.201 m
285	3040.041 m	-1250.548 m	8139.935 m
286	3046.482 m	-1250.443 m	8150.657 m
287	3052.874 m	-1250.338 m	8161.366 m
288	3059.219 m	-1250.233 m	8172.063 m
289	3065.515 m	-1250.129 m	8182.747 m
290	3071.763 m	-1250.025 m	8193.419 m
291	3077.962 m	-1249.922 m	8204.077 m
292	3084.111 m	-1249.819 m	8214.722 m
293	3090.212 m	-1249.717 m	8225.355 m
294	3096.262 m	-1249.615 m	8235.974 m
295	3102.263 m	-1249.514 m	8246.58 m
296	3108.213 m	-1249.413 m	8257.172 m
297	3114.113 m	-1249.313 m	8267.751 m
298	3119.963 m	-1249.213 m	8278.316 m
299	3125.761 m	-1249.114 m	8288.867 m
300	3131.492 m	-1249.015 m	8299.373 m
301	3137.153 m	-1248.917 m	8309.789 m
302	3142.829 m	-1248.816 m	8320.254 m
303	3148.52 m	-1248.713 m	8330.77 m
304	3154.227 m	-1248.607 m	8341.335 m
305	3159.949 m	-1248.5 m	8351.948 m
306	3165.686 m	-1248.39 m	8362.611 m
307	3171.437 m	-1248.278 m	8373.322 m
308	3177.202 m	-1248.164 m	8384.082 m
309	3182.981 m	-1248.048 m	8394.889 m
310	3188.774 m	-1247.93 m	8405.744 m
311	3194.581 m	-1247.81 m	8416.646 m
312	3200.4 m	-1247.688 m	8427.595 m
313	3206.233 m	-1247.563 m	8438.591 m
314	3212.078 m	-1247.437 m	8449.633 m
315	3217.935 m	-1247.309 m	8460.721 m
316	3223.804 m	-1247.179 m	8471.855 m
317	3229.686 m	-1247.047 m	8483.035 m
318	3235.578 m	-1246.913 m	8494.259 m
319	3241.482 m	-1246.777 m	8505.529 m
320	3247.397 m	-1246.639 m	8516.843 m
321	3253.323 m	-1246.499 m	8528.201 m
322	3259.259 m	-1246.358 m	8539.604 m
323	3265.206 m	-1246.214 m	8551.05 m
324	3271.162 m	-1246.069 m	8562.539 m
325	3277.128 m	-1245.922 m	8574.072 m
326	3282.957 m	-1245.777 m	8585.363 m
327	3288.459 m	-1245.639 m	8596.043 m
328	3293.969 m	-1245.5 m	8606.758 m
329	3299.486 m	-1245.359 m	8617.509 m
330	3305.01 m	-1245.216 m	8628.295 m
331	3310.541 m	-1245.072 m	8639.116 m
332	3316.079 m	-1244.927 m	8649.972 m
333	3321.623 m	-1244.781 m	8660.862 m
334	3327.174 m	-1244.633 m	8671.786 m
335	3332.73 m	-1244.483 m	8682.745 m
336	3338.293 m	-1244.333 m	8693.737 m
337	3343.861 m	-1244.181 m	8704.763 m
338	3349.435 m	-1244.028 m	8715.823 m
339	3355.014 m	-1243.873 m	8726.915 m
340	3360.598 m	-1243.717 m	8738.041 m
341	3366.186 m	-1243.56 m	8749.199 m
342	3371.78 m	-1243.402 m	8760.389 m
343	3377.378 m	-1243.243 m	8771.612 m
344	3382.98 m	-1243.082 m	8782.866 m
345	3388.586 m	-1242.92 m	8794.152 m
346	3394.196 m	-1242.757 m	8805.47 m
347	3399.809 m	-1242.593 m	8816.819 m
348	3405.426 m	-1242.428 m	8828.199 m
349	3411.046 m	-1242.262 m	8839.61 m
350	3416.669 m	-1242.094 m	8851.051 m
351	3422.295 m	-1241.926 m	8862.522 m
352	3427.924 m	-1241.756 m	8874.024 m
353	3433.554 m	-1241.585 m	8885.556 m
354	3439.145 m	-1241.415 m	8897.029 m
355	3444.451 m	-1241.252 m	8907.944 m
356	3449.76 m	-1241.089 m	8918.884 m
357	3455.069 m	-1240.924 m	8929.85 m
358	3460.38 m	-1240.759 m	8940.842 m
359	3465.692 m	-1240.593 m	8951.859 m
360	3471.005 m	-1240.426 m	8962.9 m
361	3476.318 m	-1240.258 m	8973.967 m
362	3481.632 m	-1240.09 m	8985.059 m
363	3486.946 m	-1239.92 m	8996.174 m
364	3492.261 m	-1239.75 m	9007.315 m
365	3497.575 m	-1239.579 m	9018.479 m
366	3502.89 m	-1239.407 m	9029.667 m
367	3508.203 m	-1239.235 m	9040.879 m
368	3513.517 m	-1239.062 m	9052.115 m
369	3518.83 m	-1238.888 m	9063.373 m
370	3524.141 m	-1238.713 m	9074.655 m
371	3529.452 m	-1238.538 m	9085.96 m
372	3534.762 m	-1238.362 m	9097.288 m
373	3540.07 m	-1238.185 m	9108.638 m
374	3545.377 m	-1238.008 m	9120.01 m
375	3550.682 m	-1237.83 m	9131.405 m
376	3555.985 m	-1237.651 m	9142.821 m
377	3561.286 m	-1237.472 m	9154.259 m
378	3566.584 m	-1237.292 m	9165.719 m
379	3571.881 m	-1237.112 m	9177.2 m
380	3577.174 m	-1236.931 m	9188.703 m
381	3582.465 m	-1236.749 m	9200.226 m
382	3587.753 m	-1236.567 m	9211.77 m
383	3593.038 m	-1236.385 m	9223.335 m
384	3598.276 m	-1236.203 m	9234.823 m
385	3603.347 m	-1236.027 m	9245.972 m
386	3608.414 m	-1235.85 m	9257.139 m
387	3613.478 m	-1235.672 m	9268.325 m
388	3618.539 m	-1235.495 m	9279.529 m
389	3623.595 m	-1235.316 m	9290.751 m
390	3628.648 m	-1235.138 m	9301.99 m
